tconst	directors	writers
tt0000574	nm0846879	nm0846879
tt0001892	nm0300487	nm0300487,nm2131092
tt0002101	nm0309130	nm0765026,nm0309130
tt0002130	nm0209738,nm0655824,nm0078205	nm0019604
tt0002199	nm0646058	nm0310155
tt0002281	nm0285643,nm0408436	nm0837989
tt0002423	nm0523932	nm0266183,nm0473134
tt0002445	nm0345500	nm0797197,nm0345500
tt0002452	nm0218404,nm0108345	nm0108345,nm0218404,nm2384492,nm0636620
tt0002461	nm0130633,nm0443857	nm0443857,nm0000636
tt0002646	nm0088881	nm1834296,nm0369458,nm2421815
tt0002844	nm0275421	nm0019855,nm0275421,nm0816232
tt0003014	nm0803705	nm0472236,nm0803705
tt0003037	nm0275421	nm0019855,nm0275421,nm0816232
tt0003102	nm0143333	nm0094343,nm0598293
tt0003131	nm0532622	nm0532622
tt0003165	nm0275421	nm0019855,nm0275421,nm0816232
tt0003167	nm0000428	nm0000428,nm0014872
tt0003419	nm0753233,nm0917467	nm0263912,nm0210503
tt0003471	nm0875869	nm0534073,nm0875869
tt0003489	nm0143333,nm0734958	nm0120272,nm0143333
tt0003637	nm0784988,nm0078116	nm0223865,nm0078116,nm0784988
tt0003643	nm0000428	nm0000590,nm0000428
tt0003657	nm0054977	nm0166693,nm0408436
tt0003740	nm0665163	nm0195339,nm0515385,nm0665163,nm0758215
tt0003772	nm0456804	nm0674518
tt0003883	nm0674600	nm0674600
tt0003930	nm0275421	nm0019855,nm0275421,nm0816232
tt0003952	nm0275421	nm0019855,nm0275421,nm0816232
tt0003973	nm0237713	nm0078442,nm0348348,nm0612348,nm0715097
tt0004026	nm0917467,nm0301961	nm0301961,nm0917467
tt0004066	nm0159725	nm0159725,nm0803842
tt0004099	nm0531759	nm0000875
tt0004134	nm0916665	nm0916665
tt0004150	nm0193327	nm0193327
tt0004181	nm0000428	nm0017701,nm0000428,nm1106102,nm0940488
tt0004457	nm0531759	nm0000875
tt0004465	nm0309163,nm0533289	nm0323766,nm0225458,nm0782707,nm0589616
tt0004635	nm0002177,nm0001124	nm0747409,nm0001124,nm0002177
tt0004681	nm0692105	nm0924842,nm0775976
tt0004707	nm0784407,nm0071658	nm0215874,nm0404327,nm0784407,nm1100197,nm0808086
tt0004712	nm0002031	nm0417905,nm0869321
tt0004743	nm0198523	nm0832952,nm0014571,nm0574737
tt0004766	nm0001124	nm0936644,nm0479052
tt0004825	nm0869665	nm0205244,nm0869665
tt0004838	nm0054977	nm0166693,nm0408436,nm0837989
tt0004872	nm0869665	nm0035854,nm0377958,nm0869665
tt0004873	nm0950148	nm0140902,nm0950148
tt0004972	nm0000428	nm0228746,nm0000428,nm0940488
tt0005060	nm0001124	nm0617737,nm0210352
tt0005078	nm0001124	nm0877318,nm0534221
tt0005149	nm0408436,nm0054977	nm0408436
tt0005339	nm0288616	nm0115063,nm0456017,nm0564946
tt0005402	nm0001124	nm0001124,nm0534221
tt0005529	nm0159725	nm0159725
tt0005557	nm0054977	nm0408436,nm0837989
tt0005680	nm0096705,nm1441208	nm0047678,nm0665163
tt0005719	nm0127511	nm0127511,nm0365381
tt0005809	nm0507150	nm0507150,nm0791017
tt0005916	nm0061955	nm0061955,nm0877057
tt0005951	nm0654581	nm0268750,nm0553806
tt0005960	nm0909825	nm0452976,nm0909825,nm0361882,nm0352506
tt0006206	nm0275421	nm0275421
tt0006327	nm0577654	nm0210352
tt0006333	nm0665737	nm0894523,nm0665737
tt0006405	nm0539718	\N
tt0006509	nm0291548,nm0291387	nm0813905
tt0006517	nm0408436,nm0713787,nm0402489,nm0366689,nm0922304,nm0250445,nm0054977	nm0837989
tt0006589	nm0936767	nm0813905,nm0936767
tt0006617	nm0803705	nm1597717,nm0039377,nm0803705,nm9320228
tt0006688	nm0127511	nm0048874,nm0127511
tt0006731	nm0291548,nm0291387	nm0566338
tt0006736	nm0245385	nm0001196
tt0006745	nm0291548,nm0291387	nm0566338
tt0006753	nm0245385	nm0366610,nm0002616
tt0006780	nm0842521,nm0807742,nm0366586	nm0837989
tt0006809	nm0256221	nm0256221,nm0002616
tt0006826	nm0408937	nm0000428
tt0006864	nm0000428	nm0048512,nm0115218,nm0000428,nm0002616,nm0640437,nm1578667,nm0940488
tt0006886	nm0275421	nm0077220,nm0275421
tt0007047	nm0694260	nm0169665,nm0256221,nm0317476,nm0002616
tt0007183	nm0698839	nm0701090,nm0652974,nm0698839
tt0007257	nm0127511	nm0048874,nm0813905
tt0007260	nm0366586	nm0837989
tt0007309	nm0523932	nm0473134,nm0778218
tt0007338	nm0077928	nm0791024,nm0319069,nm0236279
tt0007340	nm0916665	nm0916665,nm0380814,nm0011629
tt0007361	nm0205986	nm0024758,nm0342278,nm0342303,nm1331503
tt0007367	nm0256221	nm0256221,nm0002616
tt0007522	nm0830249	nm0051911,nm0260081,nm0830249
tt0007558	nm0806565,nm0916665	nm0668525,nm0355582,nm0916665,nm0806565
tt0007610	nm0049995	nm0177342,nm0049995
tt0007755	nm0000406	nm0387000
tt0007801	nm0250053	nm0353584,nm0413248,nm0603447,nm0765026
tt0007983	nm0927468	nm0927468
tt0008011	nm0869665	nm0547966,nm0869665
tt0008100	nm0390479	nm0584273,nm0647763
tt0008150	nm0001124	nm0534221,nm0210352
tt0008188	nm0001124,nm0505354	nm0534221,nm0001124,nm0364550
tt0008196	nm0624714	nm0122364,nm0547966
tt0008279	nm0304098	nm0304098
tt0008309	nm0245385	nm0245385,nm6791317
tt0008395	nm0698839,nm0901502	nm0866243,nm0901502
tt0008443	nm0869665	nm0309557,nm0547966
tt0008489	nm0410271	nm0395216,nm0446189,nm0696078
tt0008499	nm0624714	nm0547966,nm0859964,nm0927752
tt0008519	nm0001124	nm0001124,nm0534221
tt0008536	nm0698839	nm0088020
tt0008634	nm0000406	nm0387000
tt0008652	nm0515979	nm0002042,nm0515979
tt0008663	nm0803705	nm0406585,nm0596410,nm0803705
tt0008672	nm0830249	nm0596410
tt0008679	nm0003193	nm0547966,nm0841608
tt0008687	nm0853336	nm0878494,nm0412257
tt0008710	nm0803705	nm0432305,nm0481248,nm0803705
tt0008775	nm0256221	nm0139356,nm0002616,nm0256221
tt0008827	nm0624714	nm0547966,nm0542371
tt0008843	nm0466099	nm0433584,nm0883335
tt0008854	nm0523932	nm0473134,nm0708147
tt0008879	nm0803705	nm0803705,nm0039377,nm2642082
tt0008891	nm0869665	nm0535508,nm0537510
tt0008930	nm0661844	nm0661844,nm0938878
tt0008950	nm0523932	nm0226087,nm0266183,nm0473134,nm0617737,nm0824193
tt0009014	nm0304098	nm0304098
tt0009062	nm0523932	nm0523932
tt0009086	nm0291548	nm0613943,nm0769091
tt0009150	nm0000428	nm0000428
tt0009153	nm0000406	nm0000406,nm0002503,nm0507181
tt0009241	nm0853336	nm0400912,nm0547966
tt0009326	nm0624714	nm0366610,nm0547966
tt0009356	nm0561739	nm0847910
tt0009369	nm0949648,nm0428059	nm0215874,nm0370271
tt0009440	nm0001124	nm0534221,nm0680345
tt0009475	nm0250445	nm0361986,nm0448013
tt0009559	nm0000428	nm0144870,nm0000428
tt0009608	nm0662032	nm0206801
tt0009652	nm0624714	nm0516810,nm0547966
tt0009682	nm0796657	nm0123194,nm0588351,nm0916665
tt0009701	nm0275421	nm0275421
tt0009737	nm0189076	nm0028774
tt0009796	nm0001124	nm0534221,nm0790622
tt0009878	nm0652650	nm0386589,nm0652650
tt0009892	nm0002177	nm0546295,nm0309568,nm0152165
tt0009893	nm0523932	nm0473134,nm0523932
tt0009894	nm0741082	nm0127840,nm0623953,nm0708673,nm0741082
tt0009900	nm0366689	nm0193617,nm0794109
tt0009915	nm0929649	nm0606563,nm0715564
tt0009937	nm0002233	nm0002233,nm0239769
tt0009968	nm0000428	nm0121885,nm0000428
tt0009976	nm0832584	nm0809633,nm0811033
tt0010040	nm0624714	nm0916914,nm0426515
tt0010060	nm0502752	nm0857710,nm0167424
tt0010071	nm0001124	nm0534221
tt0010103	nm0662032	nm0545730,nm0662032,nm0926417
tt0010108	nm0000428	nm0000428
tt0010137	nm0001124	nm0534221,nm0783629,nm0210352
tt0010162	nm0245385	nm0256221,nm0002616
tt0010193	nm0000428	nm0355031,nm0853193
tt0010195	nm0929649	nm0716103,nm0340599,nm0940820,nm0929649
tt0010208	nm0000485	nm0067584,nm0432653,nm0519029
tt0010219	nm0190516	nm0265023,nm0940820
tt0010227	nm0291548,nm0208657	nm0289073,nm0566338,nm0560700
tt0010247	nm0830249	nm0481248,nm0596410,nm0830249
